imo,name,dwt
9369007,ELBSTROM,11051
9366134,OSLO CARRIER 2,9886
9366122,SEA CARRIER,9823
9366108,MARY GORGIAS,75194
9365996,ROTRA MARE,8818
9365984,WEC VAN EYCK,9587
9365972,CMA CGM GOYA,9620
9365960,X-PRESS MULHACEN,9620
9365879,KAAN KALKAVAN,26650
9365867,NEVZAT KALKAVAN,26811
9367358,VS SALMA,8011
9367372,ERICUSA M,17999
9367401,ORCHID MADEIRA,21206
9367413,FAIRCHEM FRIESIAN,21206
9368900,HOEGH SYDNEY,17311
9368895,HOEGH BRASILIA,17252
9368869,CONSOLIDATOR,58811
9368792,THETAGAS,10309
9368780,HAPPY CONDOR,10355
9368326,CELINA,17110
9368302,BW PARIS,89556
9368041,JSP MISTRAL,10316
9367906,IMPERATOR,18981
9367827,GLACIER BAY,34252
9367750,DEE4 ELM,47401
9367748,DEE4 DOGWOOD,47399
9367712,ARDMORE SEALEADER,47463
9367695,ARDMORE SEALANCER,47451
9367671,MINERVA MEDITERRANEA,47522
9367621,PORT ANGELES,28448
9367554,BOW CAROLINE,33609
9367530,CHEMWAY LARA,37982
9367437,ROYAL DIAMOND 7,13102
9365855,MUSTAFA DAYI,26811
9365831,TURKON ISTANBUL,26811
9365829,MUKADDES KALKAVAN,26811
9364746,DE MING HAI,76432
9364588,JANE,51506
9364526,MARIO C,13000
9364394,THETIS GLORY,54789
9364320,IMPERIAL FRONTIER,180201
9364277,N AMALTHIA,75356
9364203,AS PATRICIA,34393
9364148,MARIT,7092
9364136,MYRTE,7124
9364019,SEA SPRINTER,6355
9364007,SEA TRADER,6355
9363998,SEA LEADER,6355
9363986,KAREWOOD STAR,6355
9363974,GOLDEN LION,6315
9363950,CLOVER ACE,17280
9363948,LAVENDER ACE,17262
9363883,PETREL S,19101
9363857,EBONY RAY,19998
9363845,STANLEY PARK,19994
9363821,ORCHID KEFALONIA,19971
9364722,STAR,4700
9364758,DE XIN HAI,76432
9365817,THALE VICTORY,51087
9364849,ANEMOS,28399
9365752,MARBAT,319994
9365661,ESL AUSTRALIA,17356
9365659,AMERICABORG,17356
9365635,SEYCHELLES PATRIOT,45680
9365623,SEYCHELLES PRELUDE,45680
9365518,SDS RED,8065
9365506,CDRY WHITE,8053
9365489,PATNOS,16714
9365477,PATERNA,16748
9365362,NEW DAWN,50561
9365269,RHL FLENSBURG,8150
9365257,RHL NUERNBERG,8157
9365245,RHL DRESDEN,8211
9365049,ALEXIA I,10887
9365001,BW DANUBE,76543
9364980,ARMORIQUE,4700
9364978,COTENTIN,6200
9364930,MARVEL,38513
9364851,LIBERATOR,28414
9368912,HOEGH MANILA,17209
9369069,ONEGO BAYOU,11087
9375654,VIKING XPRS,5184
9373591,STELLA KOSAN,9999
9374208,KONA TRADER,76596
9374117,JETTE,13766
9374002,BULK INDEPENDENCE,56548
9373993,TN DAWN,56678
9373905,CONTSHIP NEW,13760
9373668,SEAPRINCESS,115949
9373656,SEASTAR,116050
9373644,PATANI,16611
9373632,PATEA,16651
9373230,AETHALIA,19991
9369071,HC EVA MARIE,11104
9373137,KORSARO,25997
9372913,PACIFIC HERON,4916
9372872,BURGUNDY,42566
9372860,ELBSPIRIT,42594
9372858,CHEMTRANS CANCALE,73626
9372688,CLIPPER PENNANT,5125
9372676,SEATRUCK PANORAMA,5125
9372652,TARNBRIS,11289
9372640,BLUE CIMENT 1,13045
9374210,ES SAKURA,76596
9374234,MAGNIFICA,40248
9374301,ATLANTIC MUSE,51498
9374337,SEABRIGHT,46177
9375604,GOTLAND ALYIA,53148
9375575,GOTLAND MARIEANN,53116
9375288,TOREADOR,22098
9375264,TOMAR,22144
9375252,SKOGAFOSS,8209
9375082,ANGORA 3,6933
9374973,TRINITAS,12016
9374911,JBU SCHELDE,11787
9374856,NORDIC TRISTAN,73604
9374844,NORSTAR INVICTUS,73611
9374569,STINA KOSAN,9999
9374557,SOPHIA KOSAN,9999
9374521,STOLT PONDO,33232
9374519,SUPERSPEED 1,5400
9374442,GH ZEPHYR,34324
9374428,MAERSK KARA,38396
